class_name,excluded_image_path,matching_image_path,matching_split_or_pool,detection_method,distance,resolution
Mansaf,/Users/hetafalmazroa/Desktop/extra_images/Mansaf/Mansaf6.jpeg,/Users/hetafalmazroa/Desktop/Arabic_Food101/Arabic Food 101 V3/Images/Mansaf/Download-Locationمنسف (28).png,train/validation pool,pHash,2,excluded duplicate candidate
Mansaf,/Users/hetafalmazroa/Desktop/extra_images/Mansaf/Mansaf9.jpeg,/Users/hetafalmazroa/Desktop/Arabic_Food101/Arabic Food 101 V3/Images/Mansaf/Download-Locationمنسف (145).png,train/validation pool,pHash,0,excluded duplicate candidate
Qatayef,/Users/hetafalmazroa/Desktop/Arabic_Food101/Arabic Food 101 V3/Images/Qatayef/قطايف (105).png,/Users/hetafalmazroa/Desktop/Arabic_Food101/Arabic Food 101 V3/Images/Qatayef/قطايف (103).png,train/validation pool,pHash,2,excluded duplicate candidate
Qatayef,/Users/hetafalmazroa/Desktop/Arabic_Food101/Arabic Food 101 V3/Images/Qatayef/قطايف (133).png,/Users/hetafalmazroa/Desktop/Arabic_Food101/Arabic Food 101 V3/Images/Qatayef/قطايف (104).png,train/validation pool,SHA-256,0,excluded duplicate candidate
Shawarma,/Users/hetafalmazroa/Desktop/extra_images/Shawarma/Shawarma16.webp,/Users/hetafalmazroa/Desktop/Arabic_Food101/Arabic Food 101 V3/Images/Shawarma/شاورما (169).png,train/validation pool,pHash,2,excluded duplicate candidate
Shishabark,/Users/hetafalmazroa/Desktop/Arabic_Food101/Arabic Food 101 V3/Images/Shishabark/شيشبرك (94).png,/Users/hetafalmazroa/Desktop/Arabic_Food101/Arabic Food 101 V3/Images/Shishabark/شيشبرك (116).png,train/validation pool,pHash,0,excluded duplicate candidate
Shishabark,/Users/hetafalmazroa/Desktop/extra_images/Shishabark/Shishabark5.jpeg,/Users/hetafalmazroa/Desktop/Combined_dataset/final_food_dataset/test/Shishabark/Shishabark5.jpeg,test,SHA-256,0,excluded candidate; test preserved
apple_pie,/Users/hetafalmazroa/Desktop/Food-101/food-101/food-101/images/apple_pie/839845.jpg,/Users/hetafalmazroa/Desktop/Food-101/food-101/food-101/images/apple_pie/839808.jpg,train/validation pool,pHash,0,excluded duplicate candidate
arayes,/Users/hetafalmazroa/Desktop/extra_images/arayes/arayes1.jpeg,/Users/hetafalmazroa/Desktop/Combined_dataset/MENA_selected_cleaned/training_exif/arayes/EXIF_arayes_20.jpg,train/validation pool,pHash,0,excluded duplicate candidate
areeka,/Users/hetafalmazroa/Desktop/extra_images/areeka/areeka16.jpeg,/Users/hetafalmazroa/Desktop/Combined_dataset/MENA_selected_cleaned/training_exif/areeka/EXIF_areeka_2.jpg,train/validation pool,pHash,2,excluded duplicate candidate
